rank,client_hash_id,content_hash_id,action_score,predicted_label,model_confidence,reason_code,action_label,total_impressions,clicks_a,ctr,avg_position,position_volatility,active_gsc_days,volume_tier
74,client_9958f0a7ae1df715,content_72f4daaf9fa56290,95.8,declining,0.9866666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,4600.0,43.0,0.0093,13.72,10.98,92,high
75,client_9958f0a7ae1df715,content_c1d7772eada473df,95.78,declining,0.9266666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,42155.0,312.0,0.0074,7.88,3.68,92,high
76,client_3197e6291363b4db,content_2b7664be925ff30b,95.78,declining,0.94,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,18949.0,15.0,0.0008,14.38,11.77,92,high
77,client_9958f0a7ae1df715,content_199a7503ef4984b6,95.77,declining,0.9766666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5649.0,19.0,0.0034,15.22,15.45,91,high
78,client_9958f0a7ae1df715,content_ed6f081c5754371e,95.76,declining,0.9633333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,7790.0,9.0,0.0012,18.43,20.34,92,high
79,client_9958f0a7ae1df715,content_c150abf4e476ebcc,95.74,declining,0.98,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5194.0,11.0,0.0021,20.27,19.38,92,high
80,client_9958f0a7ae1df715,content_cac94ac7801b6788,95.73,declining,0.93,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,26377.0,155.0,0.0059,8.94,5.45,92,high
81,client_9958f0a7ae1df715,content_ee213590433c7d10,95.7,declining,0.9366666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,21182.0,108.0,0.0051,9.11,4.73,92,high
82,client_23a62021009f63c4,content_80072353eb0ad4e7,95.68,declining,0.93,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,24594.0,70.0,0.0028,10.58,6.64,92,high
83,client_23a62021009f63c4,content_aa99dc979253a0e9,95.66,declining,0.9266666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,31856.0,292.0,0.0092,5.03,2.72,92,high
84,client_23a62021009f63c4,content_b65424ce1f846513,95.65,declining,0.9266666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,31270.0,125.0,0.004,11.28,7.12,92,high
85,client_9958f0a7ae1df715,content_f1ae44fa7ba4ebc0,95.64,declining,0.95,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,10862.0,89.0,0.0082,8.99,9.61,92,high
86,client_9958f0a7ae1df715,content_11f0897236c3049d,95.64,declining,0.9633333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,7383.0,90.0,0.0122,15.38,13.14,92,high
